chave_data,data,ano,mes,dia,nome_dia_semana,fim_de_semana,trimestre,alta_temporada,feriado,nome_feriado
20170819,2017-08-19,2017,8,19,Sábado,1,3,0,0,
20170820,2017-08-20,2017,8,20,Domingo,1,3,0,0,
20170821,2017-08-21,2017,8,21,Segunda-feira,0,3,0,0,
20170822,2017-08-22,2017,8,22,Terça-feira,0,3,0,0,
20170823,2017-08-23,2017,8,23,Quarta-feira,0,3,0,0,
20170824,2017-08-24,2017,8,24,Quinta-feira,0,3,0,0,
20170825,2017-08-25,2017,8,25,Sexta-feira,0,3,0,0,
20170826,2017-08-26,2017,8,26,Sábado,1,3,0,0,
20170827,2017-08-27,2017,8,27,Domingo,1,3,0,0,
20170828,2017-08-28,2017,8,28,Segunda-feira,0,3,0,0,
20170829,2017-08-29,2017,8,29,Terça-feira,0,3,0,0,
20170830,2017-08-30,2017,8,30,Quarta-feira,0,3,0,0,
20170831,2017-08-31,2017,8,31,Quinta-feira,0,3,0,0,
20170901,2017-09-01,2017,9,1,Sexta-feira,0,3,0,0,
20170902,2017-09-02,2017,9,2,Sábado,1,3,0,0,
20170903,2017-09-03,2017,9,3,Domingo,1,3,0,0,
20170904,2017-09-04,2017,9,4,Segunda-feira,0,3,0,0,
20170905,2017-09-05,2017,9,5,Terça-feira,0,3,0,0,
20170906,2017-09-06,2017,9,6,Quarta-feira,0,3,0,0,
20170907,2017-09-07,2017,9,7,Quinta-feira,0,3,0,1,Independência do Brasil
20170908,2017-09-08,2017,9,8,Sexta-feira,0,3,0,0,
20170909,2017-09-09,2017,9,9,Sábado,1,3,0,0,
20170910,2017-09-10,2017,9,10,Domingo,1,3,0,0,
20170911,2017-09-11,2017,9,11,Segunda-feira,0,3,0,0,
20170912,2017-09-12,2017,9,12,Terça-feira,0,3,0,0,
20170913,2017-09-13,2017,9,13,Quarta-feira,0,3,0,0,
20170914,2017-09-14,2017,9,14,Quinta-feira,0,3,0,0,
20170915,2017-09-15,2017,9,15,Sexta-feira,0,3,0,0,
20170916,2017-09-16,2017,9,16,Sábado,1,3,0,0,
20170917,2017-09-17,2017,9,17,Domingo,1,3,0,0,
20170918,2017-09-18,2017,9,18,Segunda-feira,0,3,0,0,
20170919,2017-09-19,2017,9,19,Terça-feira,0,3,0,0,
20170920,2017-09-20,2017,9,20,Quarta-feira,0,3,0,0,
20170921,2017-09-21,2017,9,21,Quinta-feira,0,3,0,0,
20170922,2017-09-22,2017,9,22,Sexta-feira,0,3,0,0,
20170923,2017-09-23,2017,9,23,Sábado,1,3,0,0,
20170924,2017-09-24,2017,9,24,Domingo,1,3,0,0,
